Unnamed: 0,Mother_Eductaion,Revision_Time,Father_Education,Wants_Higher_Education,Age,Past_Class_Failures,Week_Drugs_Consumption,Abscence,Extra_Activities,Internet_Access,Final_grade
137,3,1,3,yes,16,2,1,0,yes,yes,Low
144,1,1,1,yes,16,0,2,8,yes,no,Medium
33,3,2,3,yes,15,0,1,0,yes,yes,Medium
138,3,2,4,yes,15,0,1,2,no,no,Medium
405,2,1,3,no,19,1,4,16,no,yes,Medium
290,4,2,2,yes,18,0,4,11,yes,yes,Medium
199,3,2,3,yes,17,0,3,6,yes,yes,Medium
181,4,2,2,yes,16,0,1,0,no,yes,High
29,4,2,4,yes,16,0,5,16,yes,yes,Medium
165,3,1,2,no,16,1,1,16,yes,no,Medium
248,3,2,3,yes,18,1,3,8,no,yes,Low
306,3,1,2,yes,20,0,1,0,yes,no,High
284,2,1,1,no,18,2,5,4,no,yes,Low
371,1,1,2,no,18,0,3,3,yes,yes,Medium
30,4,2,4,yes,15,0,4,0,no,yes,Medium
604,1,2,1,no,18,1,2,2,no,no,Medium
128,4,1,4,yes,16,0,5,8,yes,yes,High
65,4,2,3,yes,16,0,2,2,yes,yes,High
370,3,2,2,yes,19,2,1,4,yes,no,Low
488,1,3,1,no,19,1,1,6,yes,no,Low
254,2,1,1,yes,17,0,4,0,no,yes,Medium
317,2,2,2,yes,17,0,3,6,no,yes,Medium
321,2,2,2,yes,17,0,1,12,no,no,Medium
221,1,3,1,yes,17,1,1,0,yes,no,Low
235,3,3,2,yes,16,0,3,10,yes,yes,Medium
359,1,3,1,yes,18,0,1,0,no,yes,High
226,2,2,2,yes,16,0,1,0,no,yes,Medium
133,1,1,1,yes,15,0,2,6,yes,yes,Medium
188,3,2,3,yes,16,0,1,0,yes,yes,High
569,3,2,3,no,18,2,3,9,yes,yes,Low
249,0,1,2,yes,16,0,4,0,no,yes,High
219,3,3,4,yes,17,1,4,14,no,yes,Low
9,3,2,4,yes,15,0,1,0,yes,yes,Medium
71,4,4,2,yes,15,0,1,0,no,yes,Medium
94,2,4,2,yes,15,0,1,6,yes,yes,Medium
33,3,2,3,yes,15,0,1,0,yes,yes,Medium
259,2,4,2,yes,17,0,1,0,yes,yes,Low
204,2,4,2,yes,16,0,1,6,yes,yes,Medium
147,4,1,4,yes,15,0,1,6,yes,yes,Medium
220,3,2,1,yes,16,0,2,2,no,yes,Medium
123,4,1,4,yes,16,0,4,4,yes,yes,Medium
77,2,4,2,yes,16,0,3,0,no,yes,Medium
84,1,2,1,yes,15,0,3,2,yes,yes,Medium
312,2,4,3,yes,18,0,3,10,yes,yes,High
82,3,2,2,yes,15,0,1,10,no,yes,Low
325,4,1,1,yes,17,0,4,22,yes,yes,Medium
591,2,2,2,yes,18,0,1,2,yes,yes,Medium
72,1,2,1,yes,15,0,4,2,no,yes,Medium
458,1,4,1,yes,16,0,1,0,no,yes,Medium
434,2,4,2,no,16,0,1,4,yes,no,Medium
491,1,2,1,yes,19,1,1,12,no,yes,Low
327,2,1,2,yes,17,0,5,8,no,yes,Medium
5,4,2,3,yes,16,0,2,10,yes,yes,High
413,1,2,1,no,21,2,2,21,yes,yes,Medium
104,3,2,4,yes,15,0,1,0,yes,yes,High
97,2,2,1,yes,16,0,1,2,no,no,Low
615,3,2,2,yes,17,0,2,0,no,no,High
37,4,3,4,yes,16,0,1,4,yes,yes,Medium
525,4,3,4,yes,17,0,2,0,no,yes,High
531,1,2,1,yes,17,0,3,0,no,yes,Medium
281,3,1,2,yes,17,1,4,19,no,yes,Medium
266,3,2,1,yes,17,0,4,2,yes,yes,Medium
231,3,2,3,yes,18,0,4,10,no,yes,Medium
52,4,1,2,yes,15,0,4,4,no,no,Medium
299,2,2,1,no,20,0,2,8,yes,yes,Medium
53,4,1,4,yes,15,0,3,0,no,yes,Medium
539,4,2,1,yes,16,0,2,8,yes,yes,Medium
187,1,2,3,yes,16,0,1,0,yes,yes,Medium
118,1,2,3,yes,17,1,4,20,yes,yes,Low
34,3,1,2,yes,16,0,1,4,no,yes,Medium
250,3,1,2,no,18,1,4,0,no,yes,Low
47,4,4,3,yes,16,0,1,2,yes,yes,High
626,4,2,4,yes,18,0,2,0,no,yes,Low
404,2,2,1,yes,17,0,4,4,yes,yes,High
9,3,2,4,yes,15,0,1,0,yes,yes,High
377,4,2,4,yes,18,0,4,4,yes,yes,Low
196,4,1,4,yes,17,0,2,4,no,yes,High
610,1,2,1,no,19,3,4,0,yes,no,Low
81,2,3,3,yes,15,0,2,4,no,yes,Medium
210,4,1,4,yes,17,0,2,4,no,yes,Medium
135,3,1,4,yes,16,0,4,12,no,yes,Medium
267,4,2,3,yes,17,0,4,8,yes,yes,High
239,2,2,2,no,18,1,5,0,no,yes,Low
146,1,2,1,yes,16,2,3,0,no,no,Medium
211,4,2,4,yes,17,0,5,13,no,yes,Medium
589,1,1,2,yes,17,0,1,0,no,yes,Low
25,2,1,2,yes,16,0,3,6,no,yes,Medium
121,2,4,2,yes,15,0,2,6,yes,yes,Medium
227,2,2,3,yes,17,0,3,2,no,yes,Medium
519,2,2,1,yes,16,0,1,0,yes,yes,Low
225,4,2,4,yes,17,0,5,15,no,yes,Medium
454,1,3,2,yes,16,1,2,3,no,no,Low
177,3,2,3,yes,17,0,4,4,yes,yes,Low
603,4,2,2,yes,18,0,1,0,yes,yes,Low
540,3,1,2,yes,17,0,2,5,no,no,Medium
29,4,2,4,yes,16,0,5,4,yes,yes,Medium
134,2,1,2,yes,17,0,3,2,no,yes,Medium
200,1,1,2,yes,16,0,2,0,yes,yes,Medium
390,2,2,2,yes,20,2,5,11,no,no,Low
391,3,3,4,yes,17,0,3,8,no,yes,Medium
7,4,2,4,yes,17,0,1,6,no,no,Low
155,2,2,3,yes,15,0,1,2,yes,no,Low
573,1,1,1,yes,17,0,2,9,yes,no,Low
223,2,2,2,yes,18,0,5,0,no,yes,Medium
329,4,3,4,yes,17,0,2,4,no,yes,Medium
139,4,3,4,yes,15,0,1,4,yes,yes,Medium
70,3,4,1,yes,16,0,1,2,no,yes,Medium
435,1,2,1,yes,15,0,2,0,no,yes,Medium
257,4,1,4,yes,17,0,2,6,yes,yes,Low
457,1,1,2,yes,17,0,5,4,yes,yes,Medium
223,4,3,3,yes,17,0,1,0,yes,yes,Medium
602,2,3,2,yes,18,0,4,0,no,yes,Medium
564,3,1,2,yes,16,0,3,2,no,yes,Medium
358,4,1,3,yes,18,0,4,8,no,yes,Medium
173,1,1,2,yes,16,2,5,0,no,yes,Low
345,4,2,4,yes,18,0,1,0,no,yes,High
361,4,2,2,yes,19,0,1,9,yes,yes,Medium
318,3,2,2,no,18,0,1,15,no,yes,Medium
163,1,1,3,no,17,0,4,2,no,yes,Medium
228,2,2,1,yes,18,0,5,14,yes,yes,Low
18,3,1,2,yes,17,3,4,2,yes,yes,Low
514,3,1,2,yes,16,0,4,2,no,yes,Low
212,2,2,2,yes,16,0,1,0,no,yes,Medium
422,3,2,2,yes,18,0,2,4,yes,yes,Medium
79,3,2,4,yes,16,0,2,12,no,yes,Low
148,4,1,4,no,16,0,1,0,no,yes,Low
302,4,3,2,yes,17,0,1,0,no,yes,Medium
359,3,3,4,yes,17,0,5,2,yes,yes,High
381,2,1,1,yes,18,0,3,5,yes,yes,Low
149,4,4,3,yes,15,0,1,6,no,yes,Medium
186,4,2,4,yes,17,0,3,0,yes,yes,Medium
43,2,1,2,yes,15,0,1,0,no,yes,Low
62,1,2,2,yes,16,0,1,0,yes,yes,Medium
133,3,1,4,yes,16,0,4,16,no,yes,Medium
194,4,2,3,yes,16,0,3,4,yes,yes,Medium
311,2,2,1,no,19,0,1,20,no,yes,Medium
106,2,4,2,yes,15,0,1,4,no,yes,Medium
254,2,2,2,yes,18,1,1,16,no,yes,Low
118,1,2,3,yes,17,1,4,14,yes,yes,Medium
446,3,2,3,yes,15,0,1,0,yes,yes,Medium
507,1,3,1,yes,17,0,1,0,no,no,Medium
0,4,2,4,yes,18,0,1,6,no,no,Low
614,4,2,4,yes,17,0,2,2,yes,yes,Medium
382,2,2,3,yes,17,0,1,2,yes,yes,Medium
316,2,2,1,yes,18,0,2,0,yes,yes,Low
360,3,2,3,yes,18,0,1,8,no,yes,Medium
555,1,3,2,yes,16,0,1,5,no,yes,Medium
503,1,4,1,yes,16,0,1,0,yes,yes,Medium
175,3,2,2,yes,17,2,4,4,no,yes,Low
601,2,2,2,yes,18,0,1,4,no,yes,Low
287,1,1,1,yes,17,1,2,0,yes,yes,Medium
172,4,2,4,yes,17,0,3,0,yes,yes,Medium
125,3,1,4,yes,15,0,2,0,no,yes,Medium
367,2,2,1,yes,17,0,2,2,yes,yes,Medium
98,4,1,4,yes,16,0,2,4,yes,yes,Medium
196,2,2,4,yes,17,0,3,0,yes,no,High
568,3,1,2,yes,19,3,1,4,yes,no,Low
90,3,3,3,yes,16,0,3,0,no,yes,Low
607,2,2,1,yes,17,0,2,5,yes,yes,Medium
181,3,2,3,yes,16,0,2,2,yes,yes,Medium
363,4,2,4,yes,17,0,1,0,yes,yes,High
274,2,2,4,yes,17,0,1,2,no,yes,Medium
559,1,1,0,yes,18,1,1,0,no,no,Medium
69,3,4,1,yes,15,0,3,12,no,yes,High
291,4,3,3,yes,17,0,2,0,no,yes,High
131,1,1,1,yes,15,0,2,0,yes,yes,Low
300,4,2,4,yes,18,0,1,14,no,yes,Medium
102,4,1,4,yes,15,0,1,2,yes,yes,Medium
326,3,1,3,yes,17,0,5,3,yes,yes,High
144,2,1,1,yes,17,3,2,0,no,yes,Low
150,3,2,3,yes,15,0,3,24,no,no,Low
227,2,2,2,yes,18,0,4,10,yes,yes,Medium
289,4,4,2,yes,17,0,1,2,yes,yes,High
135,4,3,4,yes,15,0,1,0,yes,yes,Low
83,2,2,2,yes,15,0,3,2,yes,yes,Medium
321,2,3,2,yes,17,0,1,8,no,yes,High
164,1,2,1,no,17,3,5,0,yes,no,Low
28,3,2,4,yes,16,0,1,4,yes,yes,Medium
206,1,2,2,yes,17,0,5,16,yes,yes,Medium
193,3,1,3,yes,16,0,4,8,yes,yes,Low
432,1,1,1,no,17,1,2,0,no,yes,Low
459,1,3,1,yes,16,0,1,2,no,no,Medium
38,3,3,4,yes,15,0,1,2,yes,yes,Medium
192,4,1,2,yes,16,0,4,8,yes,yes,Medium
169,4,2,4,yes,16,0,1,0,no,yes,Medium
143,3,3,2,yes,18,0,1,10,yes,yes,Medium
140,4,4,3,yes,15,0,1,0,no,yes,Low
173,1,2,3,yes,16,3,1,0,yes,yes,Low
6,2,2,2,yes,16,0,1,0,no,yes,Medium
290,2,2,2,yes,19,0,1,0,no,yes,Medium
137,2,1,2,yes,16,1,1,12,no,no,Medium
300,4,2,3,yes,18,0,3,2,no,yes,High
156,1,2,1,yes,15,0,2,0,no,yes,Medium
73,3,1,1,yes,16,0,2,2,yes,no,Medium
336,4,2,2,yes,18,0,4,2,yes,yes,High
91,4,1,3,yes,15,0,3,6,yes,yes,Medium
238,2,2,1,yes,17,0,1,2,yes,no,Medium
145,1,2,1,yes,15,0,2,0,no,yes,Medium
449,1,1,2,yes,15,0,1,3,no,no,Medium
234,1,2,1,yes,16,0,1,18,no,yes,Low
220,2,2,1,yes,17,0,2,2,yes,yes,Low
214,4,1,4,yes,17,0,2,12,no,no,Medium
311,3,2,3,yes,19,0,3,16,yes,yes,Medium
132,2,1,2,yes,17,0,3,12,no,yes,Medium
647,3,1,1,yes,17,0,4,6,no,yes,Medium
86,2,2,2,yes,16,0,2,6,no,no,Medium
558,2,1,2,no,17,0,5,0,yes,no,Medium
27,4,1,2,yes,15,0,4,0,no,yes,Medium
185,3,2,3,yes,17,0,3,12,yes,yes,Medium
41,4,1,4,yes,15,0,4,8,no,yes,Medium
258,3,2,2,yes,17,0,1,4,yes,no,High
108,4,4,4,yes,15,0,5,6,yes,yes,Medium
235,1,3,1,yes,17,0,1,12,yes,no,Medium
56,4,2,3,yes,15,0,1,0,yes,yes,High
234,2,2,1,yes,17,0,2,0,yes,yes,Medium
632,1,2,1,yes,19,1,1,4,no,yes,Low
208,2,1,3,yes,16,0,1,0,no,yes,Medium
73,3,1,1,yes,16,0,2,0,yes,no,Medium
523,4,4,4,no,18,0,5,2,yes,yes,Low
40,2,2,2,yes,16,0,2,16,yes,yes,Medium
24,2,3,4,yes,15,0,1,2,yes,yes,Low
95,1,4,1,yes,15,0,1,4,yes,yes,Medium
154,1,1,1,yes,16,0,3,4,no,yes,Medium
522,4,2,4,yes,16,0,2,4,no,yes,Low
266,4,2,2,yes,17,0,1,4,yes,no,High
618,1,2,2,yes,18,0,4,0,no,no,High
594,4,2,4,yes,18,0,2,0,yes,yes,High
338,3,4,3,yes,18,0,1,7,no,yes,High
51,4,2,2,yes,15,0,1,2,no,yes,Medium
383,1,1,1,yes,19,1,3,0,no,no,Low
157,2,1,1,no,15,0,1,0,yes,yes,Medium
586,4,2,2,yes,17,0,3,0,yes,yes,Low
428,2,1,1,no,15,0,1,0,no,no,Low
592,3,1,3,yes,17,0,1,0,no,yes,Medium
264,2,3,2,yes,18,0,1,0,yes,yes,Low
180,2,2,2,no,16,0,4,0,no,yes,Medium
364,4,1,4,yes,17,0,2,2,yes,yes,High
335,4,2,4,yes,18,0,1,0,yes,yes,High
49,4,2,4,yes,15,0,1,2,yes,yes,Medium
0,4,2,4,yes,18,0,1,4,no,no,Low
159,1,2,2,yes,15,0,1,6,no,yes,Medium
176,2,2,2,yes,16,0,4,2,yes,yes,Medium
18,3,1,2,yes,17,3,4,16,yes,yes,Low
369,1,3,1,no,19,0,3,12,yes,no,Medium
140,3,2,4,yes,17,0,4,2,no,no,Medium
282,3,1,2,no,18,0,4,8,no,yes,Low
111,3,3,3,yes,16,0,1,4,yes,yes,Medium
367,1,1,1,yes,17,1,2,0,no,yes,Low
83,2,2,2,yes,15,0,3,4,yes,yes,High
61,1,1,1,yes,16,0,5,6,yes,yes,Medium
362,4,2,4,yes,18,0,3,0,no,yes,Medium
272,1,2,1,yes,18,0,1,2,no,no,Medium
285,1,2,1,yes,17,0,2,2,no,yes,Medium
360,1,2,4,yes,18,0,4,0,no,no,Medium
354,4,2,3,yes,17,0,3,4,yes,yes,Medium
548,1,2,1,yes,17,0,2,2,yes,yes,Medium
278,4,2,4,yes,18,1,1,15,yes,yes,Low
12,4,1,4,yes,15,0,3,2,yes,yes,Medium
182,2,2,4,yes,17,0,3,0,yes,no,High
368,2,1,3,yes,18,0,2,0,no,yes,Medium
469,4,2,4,yes,16,0,1,0,yes,no,Medium
278,2,1,3,yes,17,0,1,2,no,yes,Medium
218,2,4,2,yes,16,0,1,6,yes,yes,Medium
189,4,2,3,yes,17,0,4,0,yes,yes,Medium
398,2,3,3,yes,18,0,2,0,no,yes,Medium
275,2,3,1,yes,18,0,1,10,no,yes,Medium
61,1,1,1,yes,16,0,5,0,yes,yes,Medium
393,3,1,2,yes,18,0,4,0,no,yes,Medium
283,3,2,3,yes,16,1,3,4,no,yes,Medium
322,3,2,2,no,19,1,3,0,no,yes,Low
375,1,3,1,yes,18,0,2,2,no,yes,Low
17,3,2,3,yes,16,0,1,2,yes,no,Medium
74,3,2,3,yes,16,0,4,54,yes,yes,Medium
544,1,1,3,yes,17,0,3,2,yes,no,Medium
105,3,4,3,yes,15,0,1,10,no,no,Medium
204,2,2,3,yes,16,0,1,6,no,yes,Medium
114,2,2,1,yes,15,0,1,8,yes,yes,Low
22,4,2,2,yes,16,0,3,0,yes,yes,Medium
89,4,2,4,yes,16,0,5,18,no,no,Low
587,2,2,2,yes,18,1,2,3,yes,yes,Low
529,4,1,4,yes,16,0,2,1,no,no,Medium
430,1,3,2,yes,16,0,1,0,no,yes,Medium
471,2,2,2,yes,16,1,3,2,yes,no,Medium
11,2,3,1,yes,15,0,1,4,yes,yes,Medium
1,1,2,1,yes,17,0,1,2,no,yes,Medium
207,3,1,3,yes,16,0,4,0,yes,yes,Medium
42,4,2,4,yes,15,0,1,2,yes,yes,High
167,4,2,2,yes,16,0,1,0,no,yes,High
21,4,1,4,yes,15,0,1,0,no,yes,Medium
412,4,2,2,yes,18,0,1,0,yes,yes,High
31,4,2,4,yes,15,0,1,2,yes,yes,High
545,3,2,4,yes,17,1,4,8,yes,yes,Low
630,4,3,4,yes,18,0,1,0,no,yes,High
337,4,3,3,yes,17,0,2,0,no,yes,High
260,1,1,2,no,16,0,2,4,no,yes,Medium
257,4,2,3,yes,19,0,1,12,no,yes,Medium
335,3,3,4,yes,17,0,3,16,no,yes,High
15,4,1,4,yes,16,0,2,4,no,yes,Medium
326,3,1,2,yes,17,0,4,18,no,yes,Medium
324,0,3,2,yes,17,0,3,0,no,yes,High
414,1,3,1,yes,20,0,3,8,no,yes,Medium
222,2,2,3,yes,16,0,1,2,no,yes,High
179,4,2,3,yes,17,0,1,4,yes,yes,Medium
99,4,3,3,yes,16,0,1,0,no,yes,Low
126,3,2,4,yes,15,0,1,0,yes,yes,Medium
22,4,2,2,yes,16,0,3,2,yes,yes,High
356,4,2,4,yes,17,0,2,4,yes,yes,Medium
319,4,1,4,yes,18,0,4,6,yes,yes,Medium
524,3,2,4,yes,16,0,1,2,no,no,Low
641,2,3,2,yes,18,0,3,0,no,no,High
340,2,3,1,yes,19,1,3,4,yes,yes,Medium
36,4,3,3,yes,15,0,1,0,yes,yes,Medium
195,3,2,3,yes,16,0,2,0,yes,yes,Medium
495,3,1,3,no,16,0,1,0,yes,yes,Medium
203,2,1,2,yes,17,0,2,18,no,yes,Low
549,4,2,2,yes,17,0,3,0,no,yes,High
93,4,2,2,yes,16,0,1,0,yes,yes,Medium
202,3,2,3,yes,17,0,3,10,no,yes,Medium
68,2,2,2,yes,15,0,3,2,no,yes,Low
270,4,1,4,yes,16,0,2,4,yes,yes,High
284,2,2,2,yes,17,0,2,4,no,yes,Medium
486,2,1,2,yes,16,1,4,1,yes,yes,Medium
39,2,1,2,yes,15,0,1,8,yes,no,Medium
153,3,1,2,no,19,3,1,0,no,yes,Low
75,4,2,3,yes,15,0,3,6,yes,yes,Medium
386,2,3,4,yes,17,0,1,0,no,yes,High
51,4,2,2,yes,15,0,1,0,no,yes,High
188,3,2,3,yes,17,0,3,6,no,yes,Low
271,2,4,3,yes,18,0,3,4,yes,yes,High
236,2,2,2,yes,17,0,5,4,yes,yes,Medium
92,3,2,1,yes,16,0,3,0,no,no,Medium
164,2,1,1,yes,16,1,5,6,yes,no,Medium
117,3,1,3,yes,16,0,1,0,yes,yes,Medium
477,3,1,3,yes,15,0,4,11,yes,yes,Medium
117,3,1,3,yes,16,0,1,6,yes,yes,High
528,2,1,2,yes,17,0,2,5,no,yes,Low
238,4,3,4,yes,16,0,1,4,yes,yes,High
126,3,2,4,yes,15,0,1,0,yes,yes,Medium
116,4,2,4,yes,15,0,1,2,yes,no,Medium
78,2,1,1,no,17,3,1,0,yes,yes,Medium
346,4,1,4,yes,17,0,2,0,no,yes,Medium
57,4,2,4,yes,15,0,1,4,yes,no,High
327,1,4,1,yes,18,0,1,2,yes,no,High
577,1,2,1,yes,19,1,3,8,no,yes,Medium
369,4,2,4,yes,18,0,2,10,no,yes,Medium
268,4,2,2,yes,18,0,3,10,yes,yes,Medium
46,3,2,3,yes,16,0,4,12,no,yes,Medium
349,3,1,2,yes,18,1,5,10,no,yes,Medium
195,2,2,4,yes,17,0,1,0,yes,yes,High
102,4,1,4,yes,15,0,1,4,yes,yes,Medium
496,1,1,1,yes,16,0,2,2,yes,yes,Medium
344,4,1,4,yes,18,0,2,0,no,yes,High
392,3,2,2,yes,17,0,3,0,no,yes,Medium
263,3,3,3,yes,17,0,1,4,yes,no,Medium
48,4,2,2,yes,15,0,2,4,no,no,Medium
328,1,2,1,yes,18,0,1,0,yes,yes,Medium
304,3,2,3,yes,19,1,1,20,yes,yes,Medium
341,4,2,4,yes,18,1,2,0,yes,yes,Low
401,4,3,3,yes,18,0,3,0,no,yes,Medium
313,3,2,2,yes,19,1,2,22,no,yes,Medium
149,2,1,1,yes,15,3,5,0,no,yes,Low
124,2,2,2,yes,16,0,1,0,no,yes,Low
648,3,1,2,yes,18,0,4,4,no,yes,Medium
482,1,1,1,no,15,0,3,0,no,no,Medium
50,2,2,2,yes,16,0,3,2,no,yes,Medium
353,1,1,1,yes,19,1,3,4,no,yes,Low
595,4,1,4,yes,18,0,1,3,yes,yes,High
142,4,3,4,yes,15,0,1,2,yes,yes,Medium
75,4,2,3,yes,15,0,3,0,yes,yes,Medium
4,3,2,3,yes,16,0,2,0,no,no,Medium
273,3,3,3,yes,17,0,3,10,no,yes,Medium
320,4,2,3,yes,17,0,2,23,no,yes,Medium
19,4,1,3,yes,16,0,3,4,yes,yes,Medium
481,2,1,1,no,17,0,1,2,yes,no,Medium
447,2,1,1,no,17,0,5,8,yes,no,Low
565,1,1,1,yes,16,0,4,0,yes,yes,Medium
12,4,1,4,yes,15,0,3,0,yes,yes,Medium
142,3,1,1,yes,18,0,5,2,yes,yes,Medium
575,4,1,3,yes,18,0,4,8,no,yes,Medium
38,3,3,4,yes,15,0,1,2,yes,yes,Medium
175,4,2,3,yes,17,0,4,4,yes,yes,Medium
245,2,1,1,yes,16,0,1,6,no,yes,High
489,1,1,1,no,18,1,4,0,yes,yes,Low
320,4,2,4,yes,18,1,1,2,yes,yes,Medium
639,1,1,1,yes,19,1,3,0,no,no,Low
521,2,2,3,yes,16,0,1,0,yes,yes,Medium
154,4,1,4,yes,17,0,1,0,no,no,Medium
287,1,3,1,yes,17,0,1,6,no,yes,Medium
230,4,2,3,yes,17,0,4,16,no,yes,Medium
456,1,2,1,yes,16,0,1,0,no,no,Medium
174,2,1,1,no,17,1,2,8,yes,yes,Low
490,1,1,1,no,18,1,1,4,no,yes,Medium
17,3,2,3,yes,16,0,1,4,yes,no,Medium
127,0,2,1,no,19,3,1,2,no,no,Low
322,2,3,2,yes,17,0,2,3,yes,yes,Medium
255,1,1,1,yes,17,1,2,2,yes,yes,Low
308,4,2,4,yes,18,0,2,8,yes,yes,Medium
633,4,2,4,yes,18,0,4,1,yes,yes,Medium
190,2,2,3,yes,16,0,1,10,no,yes,Medium
115,4,2,4,yes,16,0,2,2,yes,yes,High
365,4,2,3,yes,17,0,2,14,no,yes,High
211,3,1,3,yes,16,0,5,16,yes,yes,Medium
180,4,2,3,yes,16,0,3,10,yes,yes,Low
301,4,1,4,yes,17,0,2,0,no,yes,Medium
415,4,1,4,yes,19,1,4,5,no,yes,Medium
366,3,2,3,yes,17,0,1,0,no,yes,Medium
378,3,1,3,yes,17,0,5,0,yes,yes,High
504,2,3,2,yes,19,0,1,0,no,yes,Medium
388,3,2,3,yes,18,0,1,8,yes,yes,Medium
122,2,2,4,yes,16,0,2,2,yes,yes,Medium
372,2,3,2,yes,17,0,1,8,yes,no,Medium
45,4,2,3,yes,15,0,1,8,yes,yes,Low
574,1,1,1,no,20,1,4,12,no,yes,Medium
157,1,1,1,yes,18,3,5,6,yes,no,Low
455,2,2,1,yes,15,0,3,0,no,yes,Medium
171,1,2,0,yes,16,0,1,2,yes,yes,High
16,4,3,4,yes,16,0,2,6,yes,yes,Medium
116,4,2,4,yes,15,0,1,4,yes,no,High
48,4,2,2,yes,15,0,2,2,no,no,High
191,1,2,1,yes,17,0,1,0,yes,yes,Low
597,2,2,2,yes,18,1,1,0,yes,no,Low
120,1,2,2,yes,15,0,2,0,no,yes,Medium
333,1,3,1,yes,17,0,1,0,no,yes,Medium
339,3,3,2,yes,18,0,1,0,yes,yes,High
85,4,2,4,yes,15,0,3,4,no,yes,Medium
283,1,2,1,yes,18,0,1,4,yes,yes,Low
372,2,2,2,yes,17,0,1,4,no,no,Medium
305,2,1,2,no,17,0,3,8,no,yes,Low
225,3,2,1,yes,18,1,1,16,yes,yes,Low
26,2,1,2,yes,15,0,2,2,no,yes,Medium
439,3,1,3,yes,15,0,1,0,no,yes,High
42,4,2,4,yes,15,0,1,0,yes,yes,High
619,3,2,3,yes,18,0,3,6,no,yes,Medium
364,1,2,2,yes,17,0,2,0,no,no,Medium
229,2,3,1,yes,17,0,2,10,yes,yes,Medium
37,4,3,4,yes,16,0,1,7,yes,yes,High
274,1,2,1,yes,17,0,1,10,no,no,Medium
634,3,2,3,yes,18,0,2,1,no,yes,High
374,4,3,4,yes,18,0,1,0,no,yes,High
74,3,2,3,yes,16,0,4,4,yes,yes,Medium
635,3,2,1,yes,17,0,3,10,yes,yes,Low
292,4,3,2,yes,17,0,3,2,yes,yes,Medium
513,3,1,1,yes,16,0,3,0,yes,yes,Low
357,4,3,3,yes,18,0,1,2,yes,yes,High
600,1,1,1,no,17,0,4,4,no,no,Medium
194,2,1,3,yes,16,0,1,0,no,yes,Medium
517,1,1,2,yes,16,0,4,0,yes,yes,High
527,2,3,2,yes,16,0,2,0,no,no,Medium
108,4,4,4,yes,15,0,5,8,yes,yes,Medium
636,4,2,4,yes,18,0,4,4,yes,yes,High
492,2,2,2,yes,16,0,1,2,no,no,Medium
184,3,1,4,yes,16,1,4,4,yes,yes,Medium
160,2,1,1,no,17,2,2,0,yes,yes,Low
285,2,1,1,yes,16,0,3,2,yes,no,Medium
162,1,1,2,yes,16,1,4,0,yes,no,Low
310,2,2,1,no,18,0,2,12,no,yes,Low
355,2,2,3,yes,17,0,1,2,yes,yes,Medium
