,Mother_Eductaion,Binned_Revision_Time,Father_Education,Wants_Higher_Education,Age,Past_Class_Failures,Week_Drugs_Consumption,Abscence,Extra_Activities,Internet_Access,Final_grade
63,3,Medium_time,2,yes,16,0,3,8,yes,yes,Medium
64,2,Medium_time,2,yes,16,0,2,8,no,yes,Medium
65,4,Medium_time,1,yes,16,0,3,2,no,yes,Medium
66,2,Medium_time,4,yes,16,0,4,0,no,yes,Medium
67,3,Medium_time,2,yes,16,0,2,2,yes,yes,Medium
68,3,long_time,3,yes,17,0,4,0,yes,yes,Medium
69,1,Medium_time,2,yes,18,1,2,0,no,yes,Medium
70,3,Medium_time,2,yes,15,0,2,0,yes,yes,Medium
71,3,short_time,2,yes,17,0,1,18,yes,yes,Medium
72,3,Medium_time,3,yes,16,0,3,0,no,yes,Medium
73,3,Medium_time,3,yes,15,0,2,4,no,yes,Medium
74,3,Medium_time,4,yes,16,0,2,4,yes,yes,Medium
75,4,very_long_time,4,yes,15,0,3,10,yes,yes,Medium
76,1,short_time,1,no,18,1,5,0,no,yes,Low
77,2,Medium_time,4,yes,16,0,1,0,no,yes,Medium
78,3,Medium_time,1,yes,17,1,5,23,no,yes,Medium
79,2,short_time,3,yes,18,0,5,4,no,yes,Medium
80,3,short_time,2,yes,16,1,5,0,yes,yes,Medium
81,3,short_time,1,yes,17,0,2,2,yes,yes,Medium
82,3,long_time,2,yes,16,0,1,0,no,yes,Medium
83,1,Medium_time,1,no,17,2,3,6,yes,yes,Low
84,3,short_time,1,yes,17,0,3,11,yes,yes,Medium
85,1,short_time,1,no,19,1,2,6,yes,yes,Medium
86,1,Medium_time,1,no,15,1,2,2,no,no,Low
87,2,long_time,4,yes,15,0,2,0,yes,yes,High
88,4,very_long_time,3,yes,15,0,4,8,yes,yes,High
89,4,long_time,3,yes,15,0,3,6,yes,yes,High
90,1,short_time,1,no,16,1,1,4,no,no,Low
91,3,short_time,2,no,19,1,1,3,no,yes,Low
92,4,Medium_time,4,yes,16,0,1,0,no,yes,Medium
93,3,Medium_time,3,yes,15,0,2,2,no,yes,Medium
94,2,Medium_time,2,yes,16,0,1,4,yes,yes,Medium
95,3,Medium_time,3,yes,17,0,2,8,no,yes,Medium
96,3,Medium_time,1,yes,17,1,3,4,no,yes,Low
97,1,short_time,1,no,19,1,1,12,yes,yes,Low
98,4,Medium_time,4,yes,18,0,3,4,yes,yes,Medium
99,3,short_time,2,yes,18,1,1,2,yes,yes,Medium
100,2,Medium_time,1,yes,18,0,4,4,no,yes,Low
101,4,Medium_time,3,yes,17,0,4,4,no,yes,High
102,1,short_time,1,no,19,1,3,8,yes,yes,Low
103,3,long_time,2,yes,17,0,3,0,no,no,Low
104,3,Medium_time,3,yes,15,0,2,8,no,no,Medium
105,3,Medium_time,2,yes,17,0,2,2,yes,yes,Medium
106,3,Medium_time,0,yes,20,1,3,2,no,yes,Low
107,3,Medium_time,3,yes,16,0,3,0,no,yes,Medium
108,3,short_time,1,yes,17,0,3,0,no,yes,Medium
109,4,Medium_time,4,yes,15,0,1,4,no,yes,Medium
110,3,Medium_time,2,yes,17,1,1,0,no,yes,High
111,2,Medium_time,4,yes,17,0,3,4,yes,yes,Medium
112,1,short_time,2,no,16,1,5,4,yes,yes,Low
113,3,Medium_time,2,yes,16,1,1,2,yes,yes,Medium
114,2,Medium_time,3,yes,15,0,2,2,yes,yes,Medium
115,3,Medium_time,4,yes,16,0,1,2,no,yes,Medium
116,4,short_time,1,yes,16,0,3,0,yes,yes,Medium
117,3,Medium_time,3,yes,17,0,2,3,yes,yes,Medium
118,3,Medium_time,1,yes,17,0,2,4,no,yes,Medium
119,2,Medium_time,1,no,21,0,5,0,yes,no,Medium
120,3,Medium_time,1,yes,16,0,1,0,no,no,Medium
121,4,Medium_time,2,yes,15,0,3,4,yes,yes,Medium
122,4,Medium_time,3,yes,16,0,1,0,yes,yes,High
123,1,short_time,2,yes,18,1,2,8,yes,yes,Low
124,1,Medium_time,1,yes,18,1,2,4,yes,yes,Low
125,4,Medium_time,4,yes,16,0,2,10,yes,yes,High
126,4,Medium_time,4,yes,15,0,1,4,yes,yes,High
127,4,Medium_time,1,yes,15,0,2,2,no,yes,Medium
128,3,short_time,3,yes,16,0,1,0,no,yes,Medium
129,4,Medium_time,0,yes,16,0,2,8,yes,yes,Medium
130,1,Medium_time,3,yes,16,3,5,14,no,yes,Medium
131,4,long_time,1,yes,16,0,1,0,no,yes,High
132,1,Medium_time,1,yes,19,1,3,0,no,yes,Low
133,1,Medium_time,2,yes,17,3,1,0,yes,yes,Medium
134,1,Medium_time,2,yes,17,0,1,0,no,no,Medium
135,3,short_time,2,yes,16,0,2,4,no,yes,Medium
136,3,short_time,2,yes,16,0,4,0,yes,yes,Medium
137,3,Medium_time,4,yes,16,0,2,23,yes,yes,Low
138,3,Medium_time,2,yes,15,0,1,0,no,yes,High
139,4,Medium_time,2,yes,15,0,2,0,yes,yes,Medium
140,2,Medium_time,2,yes,15,0,1,4,yes,yes,Medium
141,1,short_time,1,yes,19,1,2,0,no,yes,Medium
142,1,short_time,2,yes,18,0,2,1,no,yes,Medium
143,3,short_time,4,yes,16,0,2,6,yes,yes,Medium
144,3,Medium_time,2,yes,16,0,3,4,no,yes,Low
145,3,short_time,1,yes,18,0,4,3,yes,yes,Medium
146,4,long_time,4,yes,15,0,3,4,yes,yes,High
147,3,Medium_time,3,yes,17,0,3,4,no,yes,Medium
148,3,short_time,2,yes,16,0,2,1,no,yes,Medium
149,3,Medium_time,1,yes,17,0,3,0,no,no,Medium
150,2,Medium_time,2,yes,15,0,1,12,yes,yes,Medium
151,3,Medium_time,2,yes,16,0,2,4,yes,yes,Medium
152,4,long_time,4,yes,16,0,2,2,yes,yes,High
153,2,short_time,2,yes,16,0,2,2,yes,yes,Medium
154,4,long_time,4,yes,15,0,3,0,no,yes,High
155,1,Medium_time,1,yes,17,1,2,0,no,no,Medium
156,3,Medium_time,4,yes,15,0,1,4,no,yes,Medium
157,4,Medium_time,4,yes,16,0,3,2,no,yes,Medium
158,4,Medium_time,2,yes,16,0,1,2,yes,yes,Medium
159,1,short_time,1,yes,17,1,1,18,no,yes,Medium
160,4,Medium_time,4,yes,16,0,1,0,yes,yes,High
161,4,Medium_time,4,yes,18,1,2,4,no,yes,Medium
162,1,Medium_time,1,no,17,0,1,3,yes,yes,Medium
163,4,Medium_time,4,yes,17,0,1,0,yes,yes,Medium
164,3,Medium_time,2,yes,16,0,3,8,no,yes,Medium
165,4,Medium_time,4,yes,15,0,1,2,yes,yes,Medium
166,4,Medium_time,2,yes,16,0,1,0,no,yes,Low
167,0,Medium_time,2,yes,15,0,2,10,yes,yes,Medium
168,4,very_long_time,2,yes,15,0,3,4,yes,yes,Medium
169,4,Medium_time,4,yes,15,0,2,0,no,yes,Low
170,3,Medium_time,3,yes,15,0,2,22,yes,yes,High
171,2,short_time,2,yes,16,0,2,4,no,yes,Medium
172,3,Medium_time,1,yes,18,0,4,4,yes,yes,Medium
173,3,long_time,3,yes,18,0,3,4,yes,yes,Medium
174,2,Medium_time,2,yes,16,0,2,0,yes,yes,High
175,1,short_time,1,yes,20,2,4,15,yes,yes,Low
176,1,short_time,1,yes,17,2,1,11,yes,yes,Low
177,3,Medium_time,1,yes,17,1,2,6,no,yes,Low
178,3,Medium_time,3,yes,16,0,1,0,no,yes,Medium
179,3,Medium_time,2,yes,15,0,3,1,no,yes,Medium
180,3,Medium_time,2,yes,15,0,2,2,yes,yes,Low
181,3,Medium_time,2,yes,16,0,4,0,yes,no,Medium
182,3,Medium_time,0,yes,17,0,3,0,no,yes,Medium
183,3,Medium_time,4,yes,17,1,3,22,yes,yes,Medium
184,4,Medium_time,4,yes,15,0,2,0,yes,yes,High
185,3,short_time,1,yes,18,2,3,0,yes,yes,Low
186,3,Medium_time,3,yes,15,0,1,0,no,no,Medium
187,1,Medium_time,3,yes,17,0,3,0,no,yes,Medium
188,1,short_time,2,yes,21,0,3,0,yes,yes,Medium
189,3,short_time,4,yes,16,0,3,2,yes,yes,Medium
190,2,long_time,4,yes,18,0,4,2,yes,yes,Medium
191,3,short_time,2,yes,16,0,4,8,yes,yes,Medium
192,3,long_time,2,yes,16,1,2,0,no,yes,Low
193,3,Medium_time,1,yes,17,0,1,6,no,yes,Medium
194,3,short_time,2,yes,17,0,4,4,yes,no,Medium
195,2,Medium_time,1,yes,16,1,3,6,yes,no,Medium
196,3,short_time,3,yes,17,0,4,0,no,yes,Medium
197,2,Medium_time,3,yes,17,0,4,4,no,yes,Medium
198,3,Medium_time,1,no,17,1,2,12,no,no,Medium
199,3,very_long_time,3,yes,16,0,4,2,no,no,Medium
200,3,long_time,2,yes,16,0,2,2,no,no,Medium
201,1,Medium_time,1,no,18,1,3,0,yes,yes,Low
202,4,long_time,4,yes,16,0,2,6,no,yes,High
203,2,Medium_time,2,no,17,1,1,0,yes,yes,Low
204,4,Medium_time,4,yes,16,0,1,4,yes,yes,Medium
205,4,Medium_time,4,yes,15,0,1,1,yes,yes,Medium
206,4,Medium_time,4,yes,15,0,2,0,yes,yes,High
207,1,short_time,1,no,19,1,5,0,no,yes,Medium
208,3,Medium_time,3,yes,15,0,1,4,no,yes,Medium
209,3,Medium_time,3,yes,18,1,1,4,yes,no,Medium
210,2,very_long_time,4,yes,16,0,3,8,no,yes,Medium
211,3,very_long_time,2,yes,15,0,1,0,no,yes,Medium
212,3,very_long_time,2,yes,17,0,2,6,no,yes,High
213,4,Medium_time,2,yes,16,0,2,2,yes,yes,Medium
214,2,Medium_time,2,yes,16,0,3,2,yes,yes,Medium
215,1,short_time,1,no,18,1,5,0,no,yes,Low
216,3,long_time,4,yes,22,1,1,3,yes,yes,Medium
217,4,Medium_time,2,yes,18,0,3,6,no,yes,Medium
218,4,long_time,4,yes,16,0,2,0,yes,yes,Medium
219,2,Medium_time,2,yes,15,2,1,6,no,yes,Medium
220,1,short_time,1,no,17,1,3,10,yes,no,Low
221,3,short_time,2,yes,17,0,1,4,yes,yes,Medium
222,3,short_time,1,no,18,3,4,12,no,yes,Medium
223,4,Medium_time,4,yes,15,0,1,4,yes,yes,High
224,1,Medium_time,1,yes,16,1,1,0,no,no,Low
225,0,Medium_time,2,yes,17,0,3,7,no,no,Medium
226,1,Medium_time,1,yes,17,2,2,0,no,yes,Low
227,3,long_time,3,yes,16,0,3,4,no,yes,Medium
228,2,Medium_time,1,yes,16,0,2,2,no,no,Medium
229,1,Medium_time,1,yes,16,1,5,8,yes,yes,Low
230,1,Medium_time,3,yes,15,2,2,8,yes,yes,Low
231,3,Medium_time,3,yes,16,0,4,0,no,yes,Medium
232,3,Medium_time,3,yes,15,0,1,8,yes,yes,Medium
233,4,Medium_time,4,yes,17,0,1,5,no,yes,Medium
234,3,Medium_time,1,yes,16,1,3,0,no,yes,Medium
235,3,short_time,3,yes,18,0,3,0,no,no,Medium
236,1,Medium_time,1,no,17,3,1,0,no,no,Low
237,3,Medium_time,2,yes,15,0,3,10,yes,yes,Medium
238,4,Medium_time,3,yes,15,0,3,4,yes,yes,Medium
239,3,Medium_time,1,yes,15,0,2,5,no,yes,Medium
240,3,long_time,1,no,16,1,5,4,yes,yes,Medium
241,2,Medium_time,2,yes,16,0,1,4,no,yes,Medium
242,1,short_time,1,no,18,1,2,12,no,yes,Low
243,4,Medium_time,2,yes,16,0,2,2,yes,yes,Medium
244,3,short_time,1,yes,16,1,1,5,yes,yes,Low
245,3,Medium_time,2,yes,16,0,3,6,no,yes,Medium
246,1,Medium_time,1,no,17,3,3,4,yes,yes,Low
247,4,very_long_time,1,yes,17,0,3,2,no,yes,Medium
248,2,short_time,1,yes,17,1,3,14,yes,yes,Medium
249,3,short_time,1,yes,17,2,2,0,no,yes,Medium
250,3,short_time,2,yes,18,0,4,0,no,yes,Medium
251,3,short_time,2,yes,17,0,4,0,no,no,Medium
252,3,short_time,3,yes,16,0,3,1,no,yes,Medium
253,1,Medium_time,1,yes,17,1,3,2,no,no,Low
254,4,Medium_time,3,yes,17,0,4,14,yes,yes,Medium
255,1,Medium_time,1,no,17,2,5,12,yes,yes,Low
256,0,Medium_time,2,yes,16,2,3,8,yes,yes,Medium
257,3,short_time,2,yes,15,2,4,2,no,yes,Low
258,3,Medium_time,4,yes,16,0,3,6,yes,yes,Medium
259,3,Medium_time,3,yes,17,0,3,2,no,yes,Medium
260,3,Medium_time,3,yes,16,0,3,0,yes,no,Medium
261,3,long_time,2,yes,17,0,2,6,no,no,Medium
262,1,short_time,1,no,19,1,5,0,yes,yes,Low
263,4,Medium_time,3,yes,15,0,1,2,yes,yes,Medium
264,1,short_time,3,yes,16,0,4,4,no,yes,Medium
265,3,Medium_time,2,yes,20,0,5,4,no,yes,Medium
266,4,Medium_time,2,yes,17,0,1,0,no,yes,High
267,1,Medium_time,1,yes,17,1,3,14,no,yes,Medium
268,1,short_time,1,yes,18,0,3,2,yes,yes,Medium
269,1,Medium_time,1,yes,18,1,3,4,no,yes,Low
270,1,Medium_time,1,no,17,2,1,0,no,no,Low
271,4,long_time,3,yes,15,0,1,0,yes,yes,High
272,0,Medium_time,1,yes,16,1,3,4,no,yes,Medium
273,4,long_time,2,yes,16,0,1,0,no,yes,Medium
274,4,Medium_time,2,yes,16,0,1,2,no,yes,High
275,2,Medium_time,4,yes,16,0,2,6,no,yes,Medium
276,4,Medium_time,4,yes,16,0,1,0,no,yes,Medium
277,3,Medium_time,1,yes,16,0,3,4,yes,yes,Medium
278,4,Medium_time,3,yes,16,0,2,8,yes,yes,High
279,4,Medium_time,3,yes,15,0,2,4,no,yes,Medium
280,1,short_time,1,yes,17,1,4,4,yes,yes,Low
281,1,short_time,1,no,19,1,2,9,no,yes,High
282,2,short_time,2,yes,16,0,5,0,no,yes,Medium
283,3,long_time,1,yes,16,1,1,2,yes,no,Medium
284,3,very_long_time,2,yes,18,0,4,8,no,yes,Low
285,3,Medium_time,2,yes,17,0,4,2,yes,yes,Medium
286,3,Medium_time,4,yes,16,0,3,0,no,yes,Medium
287,2,Medium_time,2,no,18,1,2,3,no,yes,Low
288,4,short_time,3,yes,16,0,3,0,yes,yes,Medium
289,1,short_time,1,yes,18,2,3,0,no,yes,Low
290,2,Medium_time,2,yes,16,0,3,2,no,yes,Low
291,3,Medium_time,1,no,20,0,2,14,no,yes,Medium
292,3,short_time,2,yes,16,0,2,8,yes,yes,Low
293,2,short_time,2,yes,16,0,2,15,no,yes,Medium
294,3,Medium_time,2,yes,15,0,3,0,yes,yes,Low
295,3,Medium_time,2,yes,17,0,4,4,no,yes,Medium
296,3,very_long_time,1,no,17,0,3,0,no,yes,High
297,4,short_time,2,yes,17,0,4,2,yes,yes,Medium
298,1,Medium_time,2,yes,15,1,3,8,yes,yes,Medium
299,1,Medium_time,1,no,21,1,5,3,yes,yes,Low
300,2,Medium_time,2,yes,17,0,2,4,no,yes,Medium
301,3,Medium_time,1,no,18,0,5,0,no,no,Low
302,3,Medium_time,2,yes,18,0,2,8,yes,yes,Medium
303,1,Medium_time,1,yes,18,0,2,0,yes,yes,Medium
304,3,Medium_time,2,yes,16,0,3,2,yes,yes,Medium
305,3,Medium_time,2,yes,16,0,2,8,yes,yes,Medium
306,1,Medium_time,1,no,18,3,3,0,yes,yes,Medium
307,3,Medium_time,3,yes,15,0,3,2,no,no,Medium
308,4,Medium_time,4,yes,15,0,1,0,yes,no,High
309,3,Medium_time,2,yes,16,0,4,7,yes,yes,Medium
310,2,short_time,1,no,17,0,4,2,no,yes,Medium
311,3,Medium_time,3,no,17,1,5,26,no,yes,Low
312,3,short_time,3,yes,16,0,1,0,no,yes,Medium
313,4,Medium_time,2,yes,15,0,1,0,yes,yes,High
314,3,Medium_time,2,yes,17,0,2,4,no,yes,Medium
315,3,short_time,4,yes,17,1,4,20,yes,yes,Medium
316,3,Medium_time,2,yes,15,0,4,2,yes,yes,Medium
317,3,Medium_time,2,yes,16,1,3,0,no,yes,Low
318,2,Medium_time,4,yes,16,0,2,4,no,yes,Medium
319,4,long_time,2,yes,16,0,1,4,yes,yes,Medium
320,3,short_time,3,yes,16,0,3,2,no,yes,Medium
321,1,Medium_time,2,yes,17,3,1,1,no,yes,Low
322,3,Medium_time,1,no,17,3,5,8,no,yes,Low
323,2,Medium_time,2,yes,15,2,1,0,no,yes,Medium
324,4,Medium_time,4,yes,16,0,3,1,yes,yes,High
325,1,Medium_time,1,no,17,2,4,3,yes,no,Low
326,2,short_time,2,no,19,1,1,8,no,yes,Low
327,4,long_time,3,yes,16,0,2,4,yes,yes,Medium
328,2,Medium_time,2,yes,15,1,2,2,yes,yes,Low
329,3,short_time,1,no,19,3,5,12,yes,yes,Low
330,4,Medium_time,1,yes,17,0,2,4,yes,yes,High
331,4,Medium_time,4,yes,16,0,2,1,yes,yes,Medium
332,4,long_time,1,yes,15,1,2,4,yes,yes,Medium
333,2,short_time,2,yes,15,0,2,8,no,yes,Medium
334,1,Medium_time,0,yes,16,0,2,0,no,yes,Medium
335,3,Medium_time,2,yes,21,0,4,8,no,yes,Medium
336,1,Medium_time,1,yes,18,2,1,4,no,yes,Low
337,3,long_time,2,yes,15,0,3,4,yes,yes,Medium
338,2,Medium_time,3,yes,17,0,1,4,yes,yes,Medium
339,3,Medium_time,3,yes,16,0,3,4,no,yes,Medium
340,2,Medium_time,4,yes,15,0,1,0,yes,yes,Medium
341,2,short_time,1,no,17,1,3,1,no,yes,Low
342,3,Medium_time,3,yes,18,0,3,10,yes,yes,Medium
343,4,Medium_time,2,yes,16,1,5,5,yes,yes,Medium
344,3,short_time,3,yes,16,0,2,3,yes,no,Medium
345,2,Medium_time,2,yes,16,0,3,2,no,yes,Medium
346,3,Medium_time,2,yes,15,0,1,38,yes,yes,Low
347,3,long_time,1,yes,19,1,1,2,no,yes,Medium
348,4,Medium_time,2,yes,15,0,3,2,no,yes,Medium
349,3,short_time,1,yes,19,1,1,0,yes,yes,Low
350,3,short_time,1,no,19,0,3,4,yes,yes,Medium
351,3,Medium_time,4,yes,16,1,2,4,yes,yes,Medium
352,2,Medium_time,4,yes,15,0,2,4,no,yes,Medium
353,4,Medium_time,4,yes,17,0,1,6,yes,yes,High
354,4,Medium_time,4,yes,15,0,3,2,yes,yes,Medium
355,2,short_time,1,no,19,1,4,2,yes,yes,Low
356,3,short_time,2,yes,18,0,3,0,no,yes,Low
357,1,short_time,2,yes,16,1,3,0,no,no,Medium
358,3,Medium_time,3,yes,18,0,4,4,no,yes,Medium
359,3,short_time,2,no,19,1,2,0,no,no,Low
360,0,Medium_time,2,yes,17,1,4,6,no,yes,Low
361,4,Medium_time,3,yes,16,0,3,4,no,yes,High
362,3,Medium_time,2,yes,15,0,1,8,yes,no,Medium
363,1,short_time,2,no,17,1,1,4,no,no,Medium
364,1,short_time,2,yes,18,2,1,1,yes,yes,Medium
365,3,Medium_time,3,yes,15,0,2,0,no,yes,Medium
366,1,Medium_time,3,yes,15,0,3,0,yes,yes,Medium
367,3,short_time,1,no,19,1,2,0,no,yes,Low
368,3,Medium_time,1,no,19,1,3,1,yes,yes,Medium
369,1,short_time,2,no,19,1,5,0,yes,yes,Low
370,3,very_long_time,2,yes,15,1,2,2,no,yes,High
371,3,Medium_time,1,yes,16,0,4,8,yes,yes,Medium
372,4,Medium_time,1,yes,20,1,4,23,yes,yes,Medium
373,2,Medium_time,2,yes,16,0,3,8,yes,yes,Medium
374,3,Medium_time,2,yes,15,0,3,8,no,yes,Medium
375,3,Medium_time,2,yes,15,1,3,4,no,yes,Low
376,4,short_time,3,yes,16,0,1,0,yes,yes,High
377,3,Medium_time,2,yes,16,0,1,0,yes,yes,Medium
378,3,Medium_time,2,yes,16,0,3,4,no,yes,Medium
379,4,Medium_time,4,yes,18,0,3,5,yes,yes,Medium
380,3,short_time,1,no,19,1,3,0,no,yes,Low
381,3,Medium_time,2,yes,15,0,4,4,no,yes,High
382,1,short_time,3,yes,16,1,2,30,no,yes,Medium
383,1,short_time,1,yes,16,1,5,4,yes,yes,Low
384,3,long_time,2,yes,17,0,1,4,yes,yes,Medium
385,2,Medium_time,2,yes,17,0,3,4,yes,yes,Medium
386,2,short_time,2,yes,20,0,1,2,yes,yes,Medium
387,4,Medium_time,4,yes,16,0,3,6,yes,yes,Medium
388,3,Medium_time,2,yes,16,0,1,0,no,yes,Medium
389,3,long_time,2,yes,15,0,1,0,no,yes,Medium
390,3,Medium_time,3,yes,15,0,1,4,no,yes,Medium
391,4,short_time,2,yes,16,0,1,0,no,yes,Medium
392,1,Medium_time,2,yes,18,0,2,2,yes,yes,Medium
393,3,short_time,2,yes,16,0,3,1,yes,yes,Medium
394,4,Medium_time,3,yes,20,0,1,0,yes,yes,Medium
395,4,long_time,4,yes,16,0,4,4,yes,yes,Medium
396,2,Medium_time,4,yes,16,0,3,0,yes,yes,Medium
397,3,Medium_time,4,yes,17,0,1,4,yes,yes,Medium
398,2,long_time,2,yes,16,0,2,0,yes,yes,Medium
399,3,long_time,3,yes,15,0,3,4,no,yes,Medium
400,1,short_time,1,no,17,1,5,10,no,no,Low
401,3,short_time,2,yes,18,1,5,10,yes,yes,Low
402,4,long_time,3,yes,15,0,3,0,no,yes,Medium
403,2,Medium_time,2,yes,16,0,1,0,yes,yes,Medium
404,4,Medium_time,1,yes,16,0,2,0,yes,yes,Medium
405,2,short_time,1,yes,18,1,3,2,yes,yes,Medium
406,1,Medium_time,1,yes,16,1,3,4,no,yes,Medium
407,3,Medium_time,1,yes,17,0,2,14,no,yes,Low
408,2,Medium_time,2,yes,17,0,2,8,no,yes,Medium
409,3,short_time,2,yes,21,0,4,8,yes,yes,Medium
410,0,Medium_time,4,yes,16,0,3,2,yes,yes,Low
411,1,short_time,1,yes,18,1,2,4,yes,yes,Medium
412,4,Medium_time,4,yes,16,0,3,0,yes,yes,High
413,3,Medium_time,1,yes,17,0,3,2,yes,no,Medium
414,1,short_time,2,yes,19,1,1,0,no,no,Medium
415,4,Medium_time,2,yes,16,0,1,4,yes,yes,Medium
416,4,Medium_time,2,yes,15,0,1,16,yes,yes,Medium
417,3,Medium_time,2,yes,17,0,3,0,yes,yes,Medium
418,1,short_time,1,no,18,3,1,4,yes,yes,Low
419,3,short_time,1,yes,18,0,3,0,no,yes,Medium
420,1,short_time,1,no,17,0,3,28,yes,yes,Low
421,4,Medium_time,4,yes,18,0,1,0,no,yes,Medium
422,3,Medium_time,1,yes,17,3,1,15,yes,no,Medium
423,3,Medium_time,1,yes,16,2,5,16,no,yes,Low
424,3,Medium_time,3,yes,15,0,3,10,yes,yes,Medium
425,4,Medium_time,2,yes,17,0,3,0,yes,yes,Medium
426,4,Medium_time,2,yes,15,0,2,20,yes,yes,Medium
427,3,short_time,1,yes,16,2,5,0,yes,yes,Low
428,2,Medium_time,2,no,19,1,5,2,yes,yes,Low
429,2,Medium_time,2,yes,19,1,1,0,yes,yes,Medium
430,1,Medium_time,2,yes,19,0,1,0,no,yes,Medium
431,3,Medium_time,4,yes,17,0,2,0,yes,yes,Medium
432,3,Medium_time,0,yes,17,2,4,0,yes,yes,Low
433,3,Medium_time,2,yes,18,1,1,2,no,yes,Medium
434,3,Medium_time,2,yes,18,0,3,11,yes,yes,Medium
435,3,Medium_time,2,yes,20,1,1,8,no,yes,Medium
436,3,Medium_time,1,yes,16,0,2,0,no,no,Medium
437,1,Medium_time,1,no,19,1,3,4,no,yes,Medium
438,2,Medium_time,2,yes,17,0,4,4,yes,yes,Medium
439,4,Medium_time,2,yes,16,1,2,8,yes,yes,Medium
440,1,long_time,1,yes,17,2,3,2,yes,yes,Medium
441,4,Medium_time,4,yes,15,0,5,0,yes,yes,Medium
442,3,Medium_time,3,yes,17,0,5,15,no,yes,Medium
